,latitude,longitude,name
122304,39.943147,-82.99733789999999,Vintage Boutique Motel [Eco-Friendly]
109399,40.66282,-73.95159,Cozy private room near Manhattan
71757,40.64465,-73.98012,Bright room in quiet Brooklyn home
136738,32.92639,-117.15426,Business and Staycation get away
81146,40.56614,-74.10312,Beach-side basement media room
197531,26.18753,-80.12068,90 second walk to Holy Cross Hospital!
29886,33.99772,-117.8054,Diamond Homestay
114254,37.32988,-121.89124,"4 Pet-Friendly Units, Pool, Near Intel Museum"
107430,40.81480392253245,-73.94406949635486,Modern designed room
99,37.7699,-122.42917,Lower Haight Victorian room
31568,34.16421992914854,-118.45505347558668,Presidential Suite In A Mansion
76701,40.80363,-73.95168,Cool Spot 2
213721,36.11678,-115.08027,"Casa bella , near to the street Las Vegas blvd"
78304,40.79659,-73.93477,Cozy East Harlem Apartment
193893,44.97183140343228,-93.0880443343933,Master Home
87055,40.74744,-73.99118,Shared APT private room 3 Midtown
90360,40.68787,-73.91737,Spacious Bright Room Within One Block of Train
223045,36.1163477,-115.1772156,3 Connecting Hotel Suites - 4 beds
120586,44.97989,-123.08106,Elegant Daisy Room in West Salem
189669,44.88709,-93.29992,Charming 50's Rambler private space
209247,25.98353,-80.12809,Hallandale Beach Private bedroom and bath
86594,40.63037,-74.01469,"Spacious, sun-drenched private room"
152,37.74444,-122.40408,Quiet Room in Our Friendly Home
47650,34.003876,-118.453156,"Suite Near Beach - Pool, Jacuzzi & Outdoor Galore"
88699,40.73866,-73.92578,Close to Manhattan! Comfortable area to stay♪
77982,40.82038,-73.95309,Hamilton Heights sun filled spacious master BR
